Na Antiguidade, a Europa mediterranea e o Oriente Proximo viram o surgimento e o esfacelamento de diversos imperios. Sobre eles pode-se afirmar que;a unidade politica acabou depois de algum tempo por se fazer acompanhar de uma unidade religiosa.;a diversidade racial e cultural enfraquecia-os, apesar da existencia de mecanismos que pretendiam estabelecer uma real unidade.;os centros politicos coincidiam sempre com os centros economicos.;com excecao do Imperio Romano, todos nasceram de confederacoes de cidades-Estado em constante luta interna.;2;
Algumas civilizacoes da Idade Antiga, embora brilhantes, nao formaram estados unificados, ou seja, sempre foram politicamente fragmentadas, mostrando o predominio periodico de algumas cidades. Sao exemplos desse enunciado as civilizacoes:;persa e egipcia.;romana e hebraica.;sumeriana e romana.;grega e fenicia.;4;
Eh certo que as civilizacoes da Antiguidade legaram a posteridade um respeitavel acervo cultural. No entanto, para superar equivoco, assinale a alternativa INCORRETA:;A pintura egipcia revela belos exemplos de descricao de movimento, sendo a figura humana representada com a cabeca e os pes de perfil.;Entre as Civilizacoes Mesopotamicas que se desenvolveram no vale dos rios Tigre e Eufrates, predominou, durante certo tempo, a forma asiatica de producao.;No periodo denominado Homerico, houve a dissolucao das comunidades gentilicas e a formacao gradativa das Cidades-Estado da Grecia.;A escrita egipcia era em caracteres cuneiformes.;4;
O Crescente Fertil, expressao que identifica uma area da civilizacao antiga, refere-se as seguintes civilizacoes:;China, India e Japao;Grecia, Roma e Egito;Ira, Palestina e Mesopotamia;Fenicia, Cartago e Roma;3;
O cristianismo, na sua origem, esta repleto de herancas (em geral modificadas) da religiao judaica mas ha, tambem, elementos que nao sao partilhados por essas duas concepcoes religiosas. Dentre eles, podemos destacar;a referencia ao Antigo Testamento como escritura sagrada.;o conceito de culpa como elemento estruturante da moral religiosa.;a fe em um deus unico.; o alcance universal do ideal de salvacao.;4;
Essencialmente mercadores, exportavam pescado, vinhos, ouro e prata, armas, praticavam a pirataria, e desenvolviam um intenso comercio de escravos no Mediterraneo...O texto refere-se a caracteristicas que identificam, na Antiguidade Oriental, os;fenicios.;hebreus.;caldeus.;egipcios.;1;
O nome do rei egipcio Amenofis IV (c.1377 a.C. - c.1358 a.C.) esta ligado a reforma religiosa que substituiu o culto de Amon-Ra por Aton e determinou o fim do politeismo. Alem do carater religioso, essa reforma buscava:;limitar a riqueza e o poder politico crescentes dos sacerdotes.; corretareunificar o Egito, apos as disputas promovidas pelos nomarcas.; por fim as revoltas camponesas motivadas pelos cultos antropomorficos.; reunir a populacao, por meio da religiao, para fortalecer a resistencia aos hicsos.;1;
Analise a alternativa que indica semelhanca entre o Modo de Producao Primitivo e o Modo de Producao Asiatico:;O solo pertencia apenas a comunidade.; A unidade das diversas comunidades se fazia atraves do poder do Estado.;O trabalho agricola era realizado para produzir excedentes.;Existia o coletivismo na agricultura.;4;
As sociedades que, na Antiguidade, habitavam os vales dos rios Nilo, Tigre e Eufrates tinham em comum o fato de:;terem desenvolvido um intenso comercio maritimo, que favoreceu a constituicao de grandes civilizacoes hidraulicas.;serem povos orientais que formaram diversas cidades-estado, as quais organizavam e controlavam a producao de cereais.;haverem possibilitado a formacao do Estado a partir da producao de excedentes, da necessidade de controle hidraulico e da diferenciacao social.;possuirem, baseados na prestacao de servico dos camponeses, imensos exercitos que viabilizaram a formacao de grandes imperios milenares.;3;
Na Antiguidade, durante o reinado de Ciro I (559-529 a. C.), os persas construiram um vasto imperio e governaram diferentes povos, adotando uma politica" que respeitava as diferencas culturais e religiosas. Esse modo de proceder esta exemplificado no fato de;incorporarem a cultura sumeriana, especialmente os registros da nova lingua semitica em caracteres cuneiformes.; arregimentarem entre os caldeus, apos a conquista da Babilonia, os satrapas, administradores encarregados das provincias imperiais.;libertarem os judeus cativos na Babil?nia, que retornaram a Palestina e reconstruiram o templo de Salomao e o culto a Iava.;difundirem no Egito o culto de Ahura-Mazda, que, integrando-se as ideias;3;
O soberano dividiu o seu imperio em provincias, chamadas satrapias, sendo a terra considerada como propriedade real e trabalhada pelas comunidades. Estas caracteristicas identificam o;imperio dos persas durante o reinado de Dario.;Imperio babilonico durante o governo de Hamurabi.;antigo imperio egipcio durante a dinastia de Queops.;reino de Israel sob o comando de Davi.;1;
