Sobre a o sistema politico-economico na Idade Media (seculo V ao XV) eh correto afirmar que:;Havia democracia na Idade Media, pois todos podiam escolher os reis e senhores feudais.;O poder politico e economico estava todo concentrado nas maos do clero catolico, principalmente dos padres e monges.;O poder era centralizado na figura do senhor feudal que, alem do poder politico, possuia os poderes economico e juridico.;Com a formacao das monarquias nacionais europeias na Idade Media, todo poder ficou concentrado nas maos dos monarcas (reis), sendo que os senhores feudais ficaram sem nenhum poder nesta epoca.;3;
Qual das alternativas abaixo aponta apenas os principais impostos e taxas que os servos deviam aos senhores feudais na Idade Media?;Dizimo (10% da producao), corveia (trabalho de 3 a 4 dias nas terras do senhor feudal) e imposto sobre uso da agua e esgoto.;Dizimo (10% da producao), imposto sobre o uso de armas dos cavaleiros e imposto e taxa pela circulacao e uso de moedas.;Imposto sobre a venda e compra de todas as mercadorias, imposto sobre os animais abatidos, imposto sobre o nascimento de filhos.;Corveia (trabalho de 3 a 4 dias nas terras do senhor feudal), talha (metade da producao) e banalidades (taxas pagas pela utilizacao do moinho e forno do senhor feudal);4;
Sobre a economia medieval eh correto afirmar que:;As moedas eram muito utilizadas, o artesanato era a base da economia medieval e as riquezas eram bem distribuidas entre todos os habitantes.;A base era a agricultura, prevalecia o sistema de trocas de mercadorias (as moedas eram pouco utilizadas) e as relacoes comerciais com outras regioes e feudos era pequena.;A pecuaria era a base da economia, as terras tinham pouco valor economico e nao todos os integrantes da sociedade eram isentos de impostos.;O artesanato era a base da economia, os servos recebiam salarios dos senhores feudais e as terras estavam concentradas totalmente nas maos da Igreja Catolica.;2;
Qual das alternativas abaixo aponta caracteristicas da religiao na Idade Media?;Varias igrejas cristas e protestantes atuavam na Europa Medieval.;A Igreja Catolica dominava na Europa Medieval, controlando a producao cultural e tendo grande influencia sobre a vida espiritual das pessoas.;As pessoas nao davam importancia a religiao na Idade Media, sendo que grande parte da populacao era composta por ateus.;Embora monopolizasse a vida religiosa na Idade Media, a Igreja Catolica era muito aberta aos avancos cientificos e manifestacoes culturais diversas.;2;
Sobre a arte na Idade Media eh correto afirmar que:;Na pintura, os temas religiosos predominaram, fruto da influencia da Igreja Catolica. Na arquitetura, prevaleceram dois estilos: romanico e gotico.;Busca da perfeicao estatica e enfoque nos temas mitologicos foram duas importantes caracteristicas da arte medieval.;A arte medieval recebeu grande influencia da arte egipcia, sendo que o principal pintor medieval foi Leonardo da Vinci.;A pintura rupestre foi a principal caracteristica da arte na Idade Media.;1;
A doutrina de Platao influenciou os primeiros filosofos medievais, Santo Agostinho, bispo de Hipona (354 a 430) e Boecio (480 a 524), autores de Confissoes e Consolacao da Filosofia, respectivamente. Mas a Filosofia que predominou na Idade Media foi a:;Sofistica;Epicurista;Escolastica;Existencialista;3;
As principais caracteristicas do feudalismo eram:;Sociedade de ordens, economia levemente industrial, unificacao politica e mentalidade impregnada pela religiosidade.;Sociedade estamental, economia tipicamente artesanal, organizacao politica descentralizada e mentalidade marcada pela ausencia do cristianismo.;Sociedade de ordens, economia terciaria e competitiva, centralizacao politica e mentalidade hedonista;Sociedade de ordens, economia agraria e auto-suficiente, fragmentacao politica e mentalidade fortemente influenciada pela religiosidade.;4;
O ano de 1054 foi marcado pelo Cisma do Oriente. Apos um longo processo de conflitos, ocorreu a ruptura entre o papado romano e o patriarca de Constantinopla, ocasionando:;a criacao da igreja Crista Ortodoxa Grega;o conflito denominado Querela das Investiduras.;a transferencia da sede do papado para a cidade de Avignon.;a fundacao da Igreja Crista Protestante.;1;
Na Idade Media, desenvolveram-se dentro da Igreja, instituicoes que tinham corporacoes de mestres e aprendizes, com privilegios e autonomia administrativa, e significaram importante avanco intelectual.O texto anterior refere-se:;as Irmandades;aos Museus;as Bibliotecas.;as Universidades.;4;
Valendo-se de sua crescente influencia religiosa, a Igreja passou a exercer importante papel em diversos setores da vida medieval;como por exemplo nas Universidades, onde disseminaram o cultivo das linguas nacionais.;inclusive estimulando o avanco da ciencia, sobretudo da medicina.;impedindo a divulgacao de conhecimentos cientificos atraves do estabelecimento do Index.;servindo como instrumento de homogeneizacao cultural diante da fragmentacao politica da sociedade feudal.;4;
A Igreja Crista foi a instituicao mais importante durante a Idade Media. Esta importancia, que ja existia nos seculos finais do Imperio Romano, continuou crescendo na medida em que;associada a sociedade bizantina atuou no combate as heresias;sua influencia politica, obtida com o apoio dos alamanos, permitiu-lhe que organizasse um Estado em territorio conquistado aos saxoes.;conseguiu ter exito na conversao dos barbaros germanicos.;aumentou seu dominio, atraves do Colegio dos Cardeais, sobre o Sacro Imperio Romano-Germanico.;3;
A Igreja integrou-se ao Sistema Feudal atraves dos mosteiros, cujas caracteristicas se assemelhavam as dos dominios dos senhores feudais. Como tinha:;o controle do destino espiritual, procurou combater a usura entre os integrantes do clero e entre os judeus, no que foi rigorosamente obedecida.;o monopolio da cultura, tinha tambem o monopolio da interpretacao da realidade social.;Grande influencia na formacao da mentalidade, insistia no ideal do preco justo, permitindo que na venda dos produtos se cobrasse a mais apenas o custo do transporte.;o controle da realidade social, exigia que os cristaos distribuissem os excedentes entre seus parentes mais proximos para auferir lucros.;2;
Para compreender a unificacao religiosa e politica da Arabia por Maome, eh necessario conhecer:;a atuacao das seitas religiosas sunita e xiita, que contribuiram para a consolidacao do Estado teocratico islamico.;os principios legitimistas obedecidos pela tribo coraixita, da qual fazia parte.;os fundamentos do sincretismo religioso que marcou a doutrina islamica.;as particularidades da vida dos arabes nos seculos anteriores ao surgimento do islamismo.;4;
Para explicar a rapida expansao muculmana, ou do Islao, ha varios fatores. Qual dos topicos a seguir nao eh explicativo disso:;o crescimento demografico da populacao arabe, que pressionava o povo a procurar terras favoraveis a agricultura;a fraqueza defensiva do Ocidente, devida a politica de paz e tolerancia da Igreja Catolica;o imperio Bizantino e o Imperio Persa guerrearam durante seculos, enfraquecendo-se mutuamente;no Ocidente a expansao arabe soube aproveitar as fraquezas dos Estados barbaros descentralizados, que sucederam o Imperio;2;
O  modo de producao feudal, que se desenvolve e atinge seu apogeu na Alta Idade Media, eh caracterizado essencialmente pela existencia das relacoes servis de producao...Assinale a alternativa que se identifica com a fonte de poder e riqueza no modo de producao a que o texto se refere.;Deus quis que, entre os homens, houvesse soluta igualdade.;os acontecimentos provam o julgamento de Deus sobre nos.;a luta social desaparece quando os homem vivem em comunhao.; nao havia senhor sem terra, nem terra sem senhor.;4;
Entre os fatores internos e externos que contribuiram para a formacao do sistema feudal encontram-se;as instituicoes germanicas, como o 'comitatus' e o direito oral.;a utilizacao das moedas de prata republicana ou SOLIDI IMPERIAIS e a assimilacao do arianismo.;a introducao pelos germanos da nocao de Estado e a organizacao judicial caracterizada pelo 'wergeld'.;a pratica constante do nicolaismo e o enfraquecimento dos patricios romanos.;1;
A expansao muculmana atingiu territorios da Europa, contribuindo para a divulgacao de habitos culturais que marcaram a formacao historica da Peninsula Iberica. Alem disso, mudou as relacoes comerciais da epoca. Em relacao a outros povos e a Igreja Catolica, os muculmanos:;mantiveram, ao longo de sua historia, uma tradicao de total tolerancia religiosa;eram temidos, em razao do seu grande poderio militar.;mantiveram uma convivencia sem choques culturais, revelando-se, no entanto, intolerantes com os judeus.;foram intolerantes e violentos, nao assimilando as culturas adversarias.;2;
